Time stamp, connected
2019-03-21 18:10:41, True
2019-03-21 18:11:42, True
2019-03-21 18:12:42, True
2019-03-21 18:13:42, False
2019-03-21 18:14:45, True
2019-03-21 18:15:45, True
2019-03-21 18:16:45, False
2019-03-21 18:17:47, False
2019-03-21 18:18:49, True
2019-03-21 18:19:50, True
2019-03-21 18:20:50, True
2019-03-21 18:21:50, False
2019-03-21 18:22:52, False
2019-03-21 18:23:55, True
2019-03-21 18:24:55, True
2019-03-21 18:25:55, False
2019-03-21 18:26:57, False
2019-03-21 18:27:59, True
2019-03-21 18:29:00, True
2019-03-21 18:30:00, False
2019-03-21 18:31:02, True
2019-03-21 18:32:03, True
2019-03-21 18:33:03, True
2019-03-21 18:34:03, True
2019-03-21 18:35:04, False
2019-03-21 18:36:24, False
2019-03-21 18:37:26, True
2019-03-21 18:38:26, True
2019-03-21 18:39:27, True
2019-03-21 18:40:27, False
2019-03-21 18:41:47, True
2019-03-21 18:42:47, True
2019-03-21 18:43:48, True
2019-03-21 18:44:48, False
2019-03-21 18:45:50, True
2019-03-21 18:46:51, True
2019-03-21 18:47:51, False
2019-03-21 18:48:53, False
2019-03-21 18:49:55, True
2019-03-21 18:50:56, True
2019-03-21 18:51:56, True
2019-03-21 18:52:56, False
2019-03-21 18:53:59, False
2019-03-21 18:55:01, False
2019-03-21 18:56:03, True
2019-03-21 18:57:03, True
2019-03-21 18:58:04, True
2019-03-21 18:59:04, True
2019-03-21 19:00:04, True
2019-03-21 19:01:05, True
2019-03-21 19:02:05, True
2019-03-21 19:03:05, True
2019-03-21 19:04:06, True
2019-03-21 19:05:06, True
2019-03-21 19:06:06, True
2019-03-21 19:07:07, True
2019-03-21 19:08:07, True
2019-03-21 19:09:07, True
2019-03-21 19:10:07, True
2019-03-21 19:11:08, True
2019-03-21 19:12:08, True
2019-03-21 19:13:08, True
2019-03-21 19:14:09, True
2019-03-21 19:15:09, True
2019-03-21 19:16:09, True
2019-03-21 19:17:10, True
2019-03-21 19:18:10, True
2019-03-21 19:19:10, False
2019-03-21 19:20:13, False
2019-03-21 19:21:18, True
2019-03-21 19:22:18, True
2019-03-21 19:23:19, False
2019-03-21 19:24:21, False
2019-03-21 19:25:23, True
2019-03-21 19:26:23, True
2019-03-21 19:27:24, False
2019-03-21 19:28:26, False
2019-03-21 19:29:28, False
2019-03-21 19:30:30, False
2019-03-21 19:31:32, True
2019-03-21 19:32:32, False
2019-03-21 19:33:34, False
2019-03-21 19:34:36, False
2019-03-21 19:35:39, False
2019-03-21 19:36:56, True
2019-03-21 19:37:56, True
2019-03-21 19:38:56, False
2019-03-21 19:39:58, False
2019-03-21 19:41:00, False
2019-03-21 19:42:03, True
2019-03-21 19:43:03, False
2019-03-21 19:44:23, True
2019-03-21 19:45:24, True
2019-03-21 19:46:25, True
2019-03-21 19:47:25, True
2019-03-21 19:48:46, True
2019-03-21 19:49:46, True
2019-03-21 19:50:46, False
2019-03-21 19:51:49, True
2019-03-21 19:52:56, True
2019-03-21 19:53:56, True
2019-03-21 19:54:56, False
2019-03-21 19:55:58, True
2019-03-21 19:56:59, True
2019-03-21 19:57:59, False
2019-03-21 19:59:01, True
2019-03-21 20:00:02, True
2019-03-21 20:01:02, True
2019-03-21 20:02:03, True
2019-03-21 20:03:03, False
2019-03-21 20:04:05, True
2019-03-21 20:05:05, False
2019-03-21 20:06:07, True
2019-03-21 20:07:08, True
2019-03-21 20:08:08, True
2019-03-21 20:09:08, False
2019-03-21 20:10:10, True
2019-03-21 20:11:11, True
2019-03-21 20:12:11, True
2019-03-21 20:13:11, False
2019-03-21 20:14:13, False
2019-03-21 20:15:16, True
2019-03-21 20:16:16, True
2019-03-21 20:17:16, False
2019-03-21 20:18:18, True
2019-03-21 20:19:19, True
2019-03-21 20:20:19, False
2019-03-21 20:21:21, True
2019-03-21 20:22:22, True
2019-03-21 20:23:22, True
2019-03-21 20:24:22, False
2019-03-21 20:25:42, True
2019-03-21 20:26:43, True
2019-03-21 20:27:43, True
2019-03-21 20:28:43, True
2019-03-21 20:29:44, True
2019-03-21 20:30:44, True
2019-03-21 20:31:45, False
2019-03-21 20:32:47, True
2019-03-21 20:33:47, True
2019-03-21 20:34:48, True
2019-03-21 20:35:48, False
2019-03-21 20:37:08, True
2019-03-21 20:38:08, True
2019-03-21 20:39:08, True
2019-03-21 20:40:09, False
2019-03-21 20:41:11, True
2019-03-21 20:42:11, True
2019-03-21 20:43:12, True
2019-03-21 20:44:12, False
2019-03-21 20:45:15, True
2019-03-21 20:46:15, False
2019-03-21 20:47:26, True
2019-03-21 20:48:26, False
2019-03-21 20:49:28, True
2019-03-21 20:50:29, True
2019-03-21 20:51:29, True
2019-03-21 20:52:29, False
2019-03-21 20:53:49, True
2019-03-21 20:54:50, True
2019-03-21 20:55:50, False
2019-03-21 20:56:52, False
2019-03-21 20:58:00, True
2019-03-21 20:59:01, False
2019-03-21 21:00:03, False
2019-03-21 21:01:05, True
2019-03-21 21:02:05, True
2019-03-21 21:03:06, False
2019-03-21 21:04:08, False
2019-03-21 21:05:10, True
2019-03-21 21:06:10, True
2019-03-21 21:07:11, True
2019-03-21 21:08:11, False
2019-03-21 21:09:13, True
2019-03-21 21:10:13, True
2019-03-21 21:11:14, False
2019-03-21 21:12:34, True
2019-03-21 21:13:34, True
2019-03-21 21:14:34, True
2019-03-21 21:15:35, True
2019-03-21 21:16:35, False
2019-03-21 21:17:56, True
